Date,Time,ESP32 Temp 1,ESP32 Temp 2,ESP32 Set Point,ESP32 Tree Range,

03/08/2022,08:24:09,68,72,60,20,
03/08/2022,08:34:09,69,72,60,20,
03/08/2022,08:44:09,69,73,60,20,
03/08/2022,08:54:09,69,73,60,20,
03/08/2022,09:04:09,70,74,60,20,
03/08/2022,09:14:09,70,74,60,20,
03/08/2022,09:24:09,71,74,60,20,
03/08/2022,09:34:09,71,74,60,20,
03/08/2022,09:44:09,71,74,60,20,
03/08/2022,09:54:09,71,74,60,20,
03/08/2022,10:04:09,72,74,60,20,
03/08/2022,10:14:09,72,75,60,20,
03/08/2022,10:24:09,72,75,60,20,
03/08/2022,10:34:09,73,75,60,20,
03/08/2022,10:44:09,72,75,60,20,
03/08/2022,10:54:09,72,75,60,20,
03/08/2022,11:04:09,73,75,60,20,
03/08/2022,11:14:09,72,75,60,20,
03/08/2022,11:24:09,73,75,60,20,
03/08/2022,11:34:09,73,75,60,20,
03/08/2022,11:44:09,73,75,60,20,

03/08/2022,12:19:17,73,75,60,20,
03/08/2022,12:29:17,73,75,60,20,
03/08/2022,12:39:17,73,75,60,20,
03/08/2022,12:49:17,73,75,60,20,
03/08/2022,12:59:17,73,75,60,20,
03/08/2022,13:09:17,73,75,60,20,
03/08/2022,13:19:17,73,75,60,20,
03/08/2022,13:29:17,73,75,60,20,
03/08/2022,13:39:17,73,75,60,20,
03/08/2022,13:49:17,74,75,60,20,
03/08/2022,13:59:17,74,75,60,20,
03/08/2022,14:09:17,74,75,60,20,
03/08/2022,14:19:17,74,75,60,20,

03/08/2022,15:50:25,76,76,60,20,
03/08/2022,16:00:25,76,76,60,20,
03/08/2022,16:10:25,76,77,60,20,
03/08/2022,16:20:25,76,77,60,20,
03/08/2022,16:30:25,76,77,60,20,
03/08/2022,16:40:25,76,77,60,20,
03/08/2022,16:50:25,77,77,60,20,
03/08/2022,17:00:25,77,77,60,20,
03/08/2022,17:10:25,77,77,60,20,
03/08/2022,17:20:25,76,77,60,20,
03/08/2022,17:30:25,77,77,60,20,
03/08/2022,17:40:25,76,77,60,20,
03/08/2022,17:50:25,76,77,60,20,
03/08/2022,18:00:25,76,77,60,20,
03/08/2022,18:10:25,75,76,60,20,
03/08/2022,18:20:25,75,76,60,20,
03/08/2022,18:30:25,75,76,60,20,
03/08/2022,18:40:25,75,76,60,20,
03/08/2022,18:50:25,74,75,60,20,
03/08/2022,19:00:25,74,75,60,20,
03/08/2022,19:10:25,73,75,60,20,
03/08/2022,19:20:25,73,74,60,20,
03/08/2022,19:30:25,73,74,60,20,
03/08/2022,19:40:25,72,74,60,20,
03/08/2022,19:50:25,72,73,60,20,
03/08/2022,20:00:25,72,73,60,20,
03/08/2022,20:10:25,72,73,60,20,
03/08/2022,20:20:25,71,73,60,20,
03/08/2022,20:30:25,71,73,60,20,
03/08/2022,20:40:25,71,72,60,20,
03/08/2022,20:50:25,71,72,60,20,
03/08/2022,21:00:25,71,72,60,20,
03/08/2022,21:10:25,70,72,60,20,
03/08/2022,21:20:25,70,72,60,20,
03/08/2022,21:30:25,70,71,60,20,
03/08/2022,21:40:25,70,71,60,20,
03/08/2022,21:50:25,69,71,60,20,
03/08/2022,22:00:25,69,71,60,20,
03/08/2022,22:10:25,69,70,60,20,
03/08/2022,22:20:25,69,70,60,20,
03/08/2022,22:30:25,69,71,60,20,
03/08/2022,22:40:25,70,71,60,20,
03/08/2022,22:50:25,71,71,60,20,
